noun,verb,metric,mean
hikari (light),X ni hitaru (Y soaks in X),metaphoricity,2.1000000000000000
sitto (envy),X wo makitirasu (Y sprinkles X),novelty,2.3000000000000000
ito (intention),X ga mitiru (X fills Y),comprehensibility,1.7000000000000000
suimin (sleep),X ga mitiru (X fills Y),metaphoricity,1.9000000000000000
kotoba (word),X wo kumitoru (Y scoops up X),novelty,0.70000000000000000000
zetubou (despair),X ga yodomu (X gets stagnant),comprehensibility,0.30000000000000000000
doro (mud),X ga nagarederu (X flows out),metaphoricity,1.5000000000000000
human (complaint),X ga nizimu (X oozes),comprehensibility,3.5000000000000000
yorokobi (delight),X ga tamaru (X gets collected),metaphoricity,2.3000000000000000
kanjou (emotion),X wo susuru (Y sips X),novelty,3.8000000000000000
oto (sound),X ga moreru (X leaks),novelty,0.10000000000000000000
kibou (hope),X ni sizumu (Y sinks into X),metaphoricity,2.1000000000000000
keeki (cake),X ni hitaru (Y soaks in X),metaphoricity,0.70000000000000000000
mizu (water),X ga koboreru (X spills out),metaphoricity,0.60000000000000000000
kinsen (money),X ga mitiru (X fills Y),metaphoricity,2.7000000000000000
oto (sound),X ga huttou-suru (X boils),metaphoricity,2.9000000000000000
yuuki (bravery),X de susugu (Y rinses Z with X),novelty,3.6000000000000000
kimoti (feeling),X ga tamaru (X gets collected),novelty,2.5000000000000000
kuuki (air),X ga uzumaku (X whirls),novelty,0.90000000000000000000
kyouhu (fear),X ga koboreru (X spills out),comprehensibility,1.3000000000000000
zetubou (despair),X wo kakeru (Y sprays X),comprehensibility,0.60000000000000000000
kibou (hope),X ga yodomu (X gets stagnant),metaphoricity,2.0000000000000000
kibou (hope),X ni hitasu (Y dips Z in X),novelty,3.7000000000000000
jouhou (information),X ni uku (Y floats on X),comprehensibility,1.1000000000000000
nioi (smell),X ga nagarederu (X flows out),comprehensibility,3.8000000000000000
ansin (relief),X wo susuru (Y sips X),novelty,3.5000000000000000
huan (anxiety),X wo siboridasu (Y squeezes X),comprehensibility,1.5000000000000000
keeki (cake),X ga koboreru (X spills out),novelty,1.8000000000000000
mizu (water),X ni hitaru (Y soaks in X),novelty,1.00000000000000000000
jounetu (passion),X wo abiseru (Y showers X),comprehensibility,2.5000000000000000
kuuki (air),X ga tamaru (X gets collected),novelty,1.3000000000000000
kibou (hope),X ga waku (X gushes out),metaphoricity,1.7000000000000000
doro (mud),X wo sosogu (Y pours X),novelty,2.5000000000000000
kanasimi (sorrow),X wo abiseru (Y showers X),metaphoricity,2.4000000000000000
ito (intention),X ni uku (Y floats on X),metaphoricity,1.6000000000000000
kimoti (feeling),X ga uzumaku (X whirls),novelty,2.6000000000000000
suimin (sleep),X ni uku (Y floats on X),comprehensibility,0.10000000000000000000
